height,landplant_pollen,landplant_spores,environment_aquatic,environment_terrestrial
1600,31,277,65,308
1365,27,262,114,289
1125,22,282,40,304
1045,24,276,44,300
965,29,276,75,305
885,19,284,70,303
805,16,264,148,280
775,12,298,164,310
745,17,302,123,319
715,16,282,134,298
685,16,298,151,314
655,21,288,219,309
625,18,280,76,298
595,13,288,78,301
580,24,283,180,307
565,16,283,193,299
535,12,289,84,301
505,12,305,165,317
475,37,257,253,294
445,107,204,103,311
415,40,275,182,315
380,31,275,49,306
345,39,277,124,316
305,46,275,89,321
265,24,295,400,319
245,39,297,85,336
236,108,201,163,309
230,36,283,91,319
205,61,260,42,321
150,117,235,16,352
130,93,213,14,306
110,100,226,23,326
90,96,205,39,301
70,131,184,48,315
20,118,66,106,184
15,225,116,212,341
8,213,95,1074,308
7,196,118,165,314
6,204,114,152,318
4,135,164,172,299
0.5,87,20,34,107
-1,122,4,21,126
-4,284,32,256,316
-6,304,29,399,333
-18,155,22,369,177
